,frequency,frequency_ham,frequency_spam
vinc,8532,8531,1
pleas,5113,4494,619
kaminski,4801,4801,0
thank,3730,3558,172
forward,3161,2952,209
time,3145,2552,593
research,2820,2752,68
market,2750,2150,600
work,2708,2293,415
inform,2701,1883,818
price,2694,2191,503
meet,2623,2544,79
know,2614,2345,269
group,2604,2474,130
manag,2600,2334,266
may,2465,1976,489
use,2330,1784,546
need,2328,1890,438
busi,2313,1416,897
compani,2290,1225,1065
new,2281,1777,504
mail,2269,1352,917
risk,2267,2097,170
model,2199,2170,29
energi,2179,2124,55
power,2117,1972,145
one,2108,1516,592
email,2066,1201,865
regard,2045,1859,186
look,2003,1607,396
messag,1983,1538,445
let,1963,1856,107
year,1886,1520,366
make,1884,1281,603
develop,1882,1691,191
day,1860,1440,420
interest,1811,1426,385
corp,1692,1643,49
shirley,1689,1687,2
call,1687,1497,190
week,1669,1454,215
edu,1627,1620,7
houston,1582,1577,5
see,1567,1238,329
receiv,1557,830,727
follow,1552,1308,244
contact,1543,1301,242
present,1543,1397,146
project,1522,1328,194
want,1488,1068,420
option,1488,1432,56
program,1438,1080,358
commun,1434,1304,130
help,1430,1168,262
list,1410,907,503
provid,1405,970,435
send,1379,986,393
trade,1366,1167,199
take,1361,1057,304
request,1344,1227,117
servic,1337,942,395
interview,1333,1320,13
discuss,1326,1270,56
confer,1297,1264,33
best,1291,933,358
report,1259,752,507
includ,1238,924,314
think,1216,1084,132
order,1208,667,541
product,1197,776,421
date,1187,1060,127
number,1182,951,231
attach,1176,1155,21
offer,1171,643,528
address,1154,693,461
question,1152,1069,83
avail,1152,872,280
next,1145,975,170
free,1141,535,606
sent,1126,971,155
visit,1126,920,206
well,1125,961,164
system,1118,816,302
crenshaw,1115,1115,0
posit,1104,917,187
good,1097,876,221
name,1089,745,344
state,1086,806,280
financ,1073,1038,35
schedul,1071,1054,17
ga,1070,905,165
offic,1068,935,133
univers,1059,1025,34
give,1055,883,172
stinson,1051,1051,0
current,1044,841,203
john,1042,1022,20
fax,1038,963,75
chang,1035,831,204
phone,1001,858,143
last,994,871,123
talk,981,943,38
review,976,834,142
process,975,826,149
industri,970,731,239
credit,960,798,162
peopl,958,599,359
data,955,868,87
gener,951,742,209
issu,944,865,79
resum,933,928,5
team,926,850,76
first,921,720,201
opportun,918,760,158
site,913,458,455
two,911,787,124
financi,909,702,207
plan,904,738,166
come,903,748,155
origin,892,796,96
start,880,580,300
ask,871,797,74
find,867,665,202
invest,867,327,540
way,864,586,278
back,864,739,125
ee,863,863,0
much,861,669,192
hope,858,828,30
secur,857,337,520
support,854,734,120
friday,854,847,7
london,843,828,15
rice,843,842,1
dear,838,734,104
base,837,635,202
account,829,401,428
today,828,577,251
respons,824,711,113
oper,820,669,151
cost,810,639,171
month,797,585,212
copi,797,700,97
possibl,796,712,84
custom,796,433,363
access,789,617,172
lon,786,779,7
term,786,625,161
particip,782,717,65
associ,777,715,62
money,776,114,662
addit,774,648,126
file,770,659,111
click,769,217,552
person,767,569,198
mani,758,550,208
book,756,680,76
softwar,739,299,440
requir,736,562,174
within,732,386,346
set,727,658,69
great,727,556,171
student,726,710,16
futur,722,440,282
valu,721,590,131
rate,718,516,202
curv,716,716,0
complet,707,515,192
director,705,640,65
juli,701,630,71
websit,700,194,506
note,688,600,88
april,682,677,5
deriv,676,673,3
doc,675,673,2
electr,675,659,16
web,668,430,238
problem,666,593,73
form,664,467,197
detail,661,546,115
tri,661,521,140
home,660,375,285
kevin,656,654,2
school,655,607,48
result,655,418,237
monday,649,630,19
approv,648,533,115
real,648,490,158
invit,647,614,33
per,642,412,230
grant,640,464,176
right,637,388,249
end,635,550,85
summer,635,623,12
gibner,633,633,0
contract,629,544,85
cours,626,567,59
internet,623,361,262
made,622,380,242
depart,621,575,46
even,617,424,193
paper,612,575,37
move,612,526,86
mark,612,587,25
intern,606,489,117
updat,606,527,79
differ,598,489,109
assist,598,475,123
abl,590,515,75
morn,586,546,40
employe,579,542,37
stanford,578,575,3
might,577,490,87
thursday,575,558,17
relat,575,499,76
attend,573,558,15
engin,571,411,160
part,570,450,120
applic,567,428,139
corpor,565,414,151
version,564,390,174
case,561,492,69
weather,557,553,4
resourc,556,466,90
unit,554,457,97
expect,554,356,198
suggest,554,533,21
technolog,552,322,230
event,552,447,105
continu,552,464,88
go,550,474,76
net,548,243,305
member,545,446,99
user,544,371,173
feel,543,453,90
appreci,541,518,23
said,537,474,63
point,536,474,62
thing,535,347,188
long,534,436,98
hello,534,395,139
confirm,532,485,47
comment,531,505,26
david,526,508,18
still,523,457,66
perform,523,423,100
understand,521,464,57
zimin,520,520,0
success,519,293,226
onlin,518,173,345
mike,516,514,2
place,516,388,128
var,514,511,3
wharton,511,511,0
import,511,396,115
return,509,355,154
steve,501,488,13
hour,501,357,144
deal,498,423,75
stock,498,158,340
comput,497,354,143
analysi,495,468,27
sure,495,396,99
soon,492,435,57
bank,492,276,216
final,490,422,68
area,489,397,92
check,488,351,137
feedback,486,477,9
locat,485,406,79
high,484,313,171
martin,484,477,7
robert,482,466,16
decis,478,438,40
adob,476,14,462
tuesday,474,454,20
effort,473,358,115
world,472,286,186
effect,471,270,201
hear,469,420,49
full,469,317,152
join,469,403,66
million,468,177,291
type,466,352,114
increas,464,295,169
wednesday,464,456,8
govern,463,302,161
propos,463,413,50
remov,460,103,357
put,458,385,73
design,457,261,196
believ,456,313,143
global,456,392,64
march,453,436,17
given,453,383,70
decemb,452,448,4
special,451,226,225
recent,451,368,83
inc,450,253,197
allow,450,348,102
line,448,289,159
transact,447,299,148
california,446,405,41
alreadi,446,372,74
network,446,375,71
due,445,351,94
jeff,443,440,3
buy,442,243,199
sincer,440,361,79
togeth,438,406,32
info,438,273,165
presid,438,378,60
public,437,346,91
run,437,398,39
vasant,436,436,0
direct,436,368,68
anoth,435,369,66
notic,435,284,151
etc,434,385,49
professor,431,425,6
tanya,431,431,0
keep,431,306,125
respond,430,382,48
sever,430,340,90
submit,426,251,175
structur,425,382,43
christi,424,422,2
say,423,305,118
agreement,422,368,54
save,422,87,335
link,421,247,174
document,421,384,37
sale,421,218,203
get,418,314,104
center,417,355,62
html,417,326,91
lead,417,296,121
realli,417,324,93
iri,414,413,1
job,414,369,45
wish,414,229,185
level,414,357,57
open,413,359,54
read,413,279,134
creat,413,299,114
arrang,410,399,11
statement,408,72,336
specif,407,338,69
purchas,405,308,97
involv,405,294,111
experi,405,346,59
total,404,220,184
candid,403,395,8
texa,403,386,17
north,402,360,42
reserv,402,340,62
dinner,401,401,0
bill,401,327,74
life,400,80,320
news,397,195,202
repli,397,239,158
dpc,397,397,0
happi,396,354,42
skill,396,390,6
oil,396,266,130
analyst,394,362,32
contain,393,241,152
share,391,215,176
execut,391,342,49
lunch,390,387,3
write,390,286,104
mean,390,259,131
without,389,191,198
limit,388,231,157
speaker,388,387,1
seminar,387,366,21
immedi,385,249,136
build,384,285,99
short,383,310,73
better,383,301,82
charg,381,323,58
profession,381,141,240
studi,380,367,13
must,379,229,150
pay,378,269,109
idea,378,327,51
volatil,377,372,5
util,377,348,29
room,375,362,13
bring,374,311,63
three,374,259,115
test,373,286,87
technic,372,357,15
coordin,367,360,7
anjam,367,367,0
thought,367,325,42
june,365,293,72
board,361,316,45
asset,360,301,59
america,359,325,34
sourc,358,278,80
fund,358,163,195
organ,356,292,64
cera,356,356,0
speak,355,335,20
mention,355,325,30
announc,354,266,88
natur,353,279,74
capit,352,268,84
baylor,352,351,1
materi,351,209,142
cover,350,321,29
recommend,350,304,46
valuat,350,345,5
michael,349,324,25
page,348,275,73
lot,348,268,80
telephon,347,310,37
repres,347,281,66
sorri,343,293,50
select,340,279,61
initi,340,288,52
close,340,288,52
accept,340,239,101
class,339,312,27
confidenti,339,256,83
ena,339,339,0
januari,338,327,11
portfolio,337,284,53
sign,337,266,71
done,337,254,83
articl,335,320,15
view,331,242,89
measur,331,296,35
probabl,330,314,16
content,328,177,151
fact,327,171,156
factor,327,262,65
learn,327,198,129
countri,326,128,198
becom,325,182,143
econom,325,291,34
around,324,268,56
graduat,324,314,10
agre,324,286,38
recruit,324,312,12
potenti,322,201,121
suppli,322,272,50
dale,322,322,0
sell,321,168,153
exampl,320,252,68
guarante,320,117,203
either,318,279,39
consid,318,245,73
begin,317,291,26
licens,316,268,48
code,315,226,89
standard,313,250,63
second,313,216,97
insur,313,179,134
search,312,75,237
calcul,312,291,21
appli,312,243,69
improv,312,204,108
approach,312,297,15
via,311,254,57
mseb,309,309,0
implement,309,301,8
novemb,308,302,6
everi,307,173,134
individu,307,249,58
distribut,306,229,77
advertis,306,59,247
decid,305,213,92
richard,305,303,2
moor,305,304,1
hotel,304,291,13
indic,303,231,72
show,303,213,90
desk,302,295,7
seem,302,278,24
promot,302,209,93
vkamin,301,301,0
firm,301,277,24
card,301,117,184
activ,301,236,65
molli,300,299,1
kind,299,225,74
administr,299,273,26
client,298,201,97
minut,298,195,103
control,297,200,97
box,297,217,80
aol,294,274,20
actual,292,221,71
period,292,268,24
concern,292,256,36
estim,291,208,83
key,291,237,54
storag,291,285,6
train,290,243,47
transfer,289,140,149
februari,289,288,1
whether,289,270,19
chri,289,287,2
parti,288,165,123
tomorrow,287,276,11
tool,287,199,88
consult,287,218,69
capac,287,281,6
leav,287,266,21
major,286,181,105
databas,285,196,89
step,285,191,94
smith,285,278,7
street,284,245,39
topic,284,279,5
afternoon,284,280,4
yet,283,219,64
vice,283,277,6
amount,282,166,116
session,282,262,20
eb,282,282,0
letter,281,193,88
plant,281,263,18
paul,279,277,2
octob,279,277,2
past,278,181,97
dollar,278,75,203
payment,277,204,73
publish,277,185,92
author,276,230,46
reason,275,203,72
committe,275,265,10
benefit,275,176,99
demand,275,230,45
simul,275,270,5
trip,274,265,9
someth,274,223,51
tom,274,270,4
advanc,273,227,46
logo,273,23,250
conveni,272,221,51
polici,272,222,50
evalu,272,256,16
produc,272,206,66
shanbhogu,271,271,0
later,271,228,43
guy,270,256,14
offici,270,240,30
non,270,223,47
reach,269,200,69
jone,268,250,18
wrote,268,267,1
berkeley,268,267,1
refer,267,222,45
august,266,245,21
function,266,256,10
maureen,265,265,0
india,265,261,4
alex,265,262,3
legal,265,145,120
act,265,118,147
william,264,259,5
got,264,206,58
forecast,264,243,21
top,263,145,118
head,263,239,24
answer,262,211,51
regist,262,141,121
europ,262,244,18
readi,261,128,133
termin,260,254,6
institut,259,236,23
solut,259,188,71
tel,259,235,24
jim,258,258,0
travel,257,187,70
partner,257,128,129
live,257,123,134
patrick,256,254,2
post,256,210,46
everyon,255,219,36
role,255,250,5
mailto,255,233,22
excel,255,226,29
prepar,254,223,31
download,253,120,133
enronxg,253,253,0
european,253,243,10
hedg,252,247,5
packag,251,125,126
chair,251,250,1
anyth,250,204,46
floor,249,240,9
newslett,249,143,106
enter,249,145,104
friend,248,163,85
american,248,187,61
trader,248,228,20
draft,248,222,26
strategi,248,201,47
identifi,247,185,62
enjoy,247,197,50
other,247,147,100
steven,246,242,4
word,246,158,88
basi,245,217,28
remain,245,212,33
ravi,245,245,0
load,244,227,17
austin,244,243,1
titl,243,175,68
investor,243,50,193
ferc,242,242,0
vacat,241,209,32
chapter,241,237,4
colleagu,241,229,12
hand,241,142,99
someon,241,191,50
profit,240,122,118
contribut,240,227,13
earli,239,221,18
intend,239,164,75
glad,239,231,8
action,239,163,76
found,239,167,72
fyi,238,237,1
incom,238,124,114
ye,238,185,53
privat,236,154,82
deliv,236,150,86
rac,235,218,17
anyon,235,158,77
org,235,132,103
password,234,217,17
lng,234,229,5
commod,233,221,12
commit,232,190,42
expens,232,178,54
upon,232,175,57
tell,231,173,58
item,231,174,57
releas,231,137,94
oct,231,230,1
advis,230,178,52
daili,229,176,53
commerci,228,165,63
competit,228,179,49
mack,228,228,0
happen,228,154,74
less,228,151,77
exchang,228,161,67
left,227,197,30
express,226,155,71
along,226,196,30
statu,226,191,35
focu,225,186,39
yesterday,225,223,2
seri,225,216,9
correl,224,222,2
averag,224,155,69
toni,224,220,4
section,224,108,116
told,224,205,19
explor,223,189,34
agenda,223,223,0
held,222,202,20
pjm,222,222,0
fit,222,188,34
transmiss,222,204,18
far,222,197,25
pass,222,189,33
directli,221,193,28
region,221,203,18
hire,221,212,9
latest,221,169,52
quit,221,199,22
stay,221,194,27
care,220,132,88
wait,220,131,89
senior,219,198,21
record,219,110,109
rememb,219,113,106
upenn,219,219,0
clear,219,151,68
featur,219,116,103
altern,219,176,43
assum,218,191,27
easi,218,62,156
cash,218,78,140
saturday,217,212,5
welcom,217,140,77
field,216,186,30
masson,216,216,0
larg,215,164,51
error,214,101,113
mind,214,165,49
cell,214,166,48
wonder,214,190,24
hold,213,173,40
bid,213,209,4
method,213,148,65
septemb,213,201,12
spreadsheet,213,210,3
histor,213,186,27
deliveri,213,123,90
abil,211,153,58
suit,211,114,97
summari,211,210,1
necessari,211,145,66
never,210,72,138
tamarchenko,209,209,0
pro,209,69,140
turn,209,144,65
practic,208,157,51
billion,208,132,76
big,207,113,94
chairman,207,203,4
alway,207,144,63
tax,206,145,61
correct,205,188,17
weekend,205,202,3
like,205,185,20
brown,205,196,9
longer,204,149,55
add,204,156,48
earlier,204,202,2
auction,204,195,9
staff,204,182,22
matter,204,149,55
low,203,51,152
sandeep,203,200,3
yahoo,203,152,51
fuel,203,163,40
input,202,195,7
away,201,107,94
mba,201,195,6
determin,201,183,18
prefer,200,183,17
hard,200,143,57
edit,200,133,67
internship,200,200,0
revenu,199,94,105
scott,199,192,7
spread,199,182,17
electron,199,173,26
mathemat,199,198,1
york,199,177,22
target,198,76,122
nation,197,129,68
fast,197,68,129
fix,196,160,36
kim,195,195,0
wholesal,195,175,20
small,195,120,75
littl,194,132,62
local,194,90,104
signific,194,171,23
famili,194,105,89
drive,194,141,53
least,194,140,54
annual,193,156,37
side,193,174,19
ship,193,82,111
relationship,191,166,25
rick,191,189,2
exist,191,153,38
serv,191,162,29
nice,190,122,68
feb,190,187,3
cap,190,153,37
jame,190,183,7
ad,189,139,50
rang,189,146,43
paulo,189,189,0
chanc,188,140,48
bob,188,186,2
optim,188,178,10
krishnarao,187,187,0
unsubscrib,187,62,125
excit,187,135,52
stop,187,100,87
normal,187,104,83
challeng,187,157,30
purpos,187,129,58
coupl,187,169,18
visa,186,160,26
workshop,186,183,3
media,186,40,146
pdf,186,178,8
growth,186,82,104
prior,186,159,27
raymond,185,185,0
hous,185,117,68
profil,184,107,77
appropri,184,176,8
late,184,136,48
fee,184,100,84
ben,184,181,3
anita,183,183,0
machin,182,153,29
discount,182,123,59
ensur,182,134,48
stephen,182,175,7
instal,182,140,42
iso,180,134,46
vincent,180,177,3
mine,180,89,91
object,180,130,50
joe,179,174,5
background,179,175,4
ken,179,178,1
main,178,164,14
among,178,121,57
default,177,177,0
extens,177,154,23
loan,176,68,108
paid,176,67,109
ago,176,156,20
leppard,176,176,0
bit,176,123,53
delay,175,164,11
obtain,175,134,41
physic,175,158,17
dabhol,174,174,0
viagra,174,0,174
simpli,174,69,105
convers,174,156,18
citi,174,107,67
nick,173,172,1
introduc,173,122,51
mari,173,156,17
instruct,173,88,85
goal,173,111,62
respect,172,120,52
voic,172,148,24
congratul,171,143,28
window,171,90,81
video,171,120,51
earn,171,62,109
maharashtra,171,171,0
effici,170,150,20
strong,170,115,55
format,170,95,75
retail,170,125,45
creativ,170,28,142
connect,169,121,48
emerg,169,133,36
integr,169,136,33
garp,169,169,0
dept,169,162,7
educ,169,128,41
fall,169,150,19
appear,168,144,24
mid,168,158,10
love,168,55,113
equiti,168,131,37
shmuel,168,168,0
faculti,168,168,0
imag,168,67,101
jul,168,6,162
protect,167,66,101
press,167,80,87
panel,166,152,14
budget,166,126,40
flow,166,151,15
basic,166,149,17
promis,166,92,74
fill,166,80,86
print,165,116,49
transport,165,151,14
caus,165,85,80
tue,165,59,106
host,165,114,51
touch,165,154,11
stand,165,89,76
server,164,95,69
commiss,164,113,51
claim,164,52,112
consum,164,120,44
although,163,144,19
subscrib,163,77,86
impact,163,140,23
independ,163,99,64
break,162,106,56
advic,162,55,107
compar,162,120,42
alloc,161,156,5
negoti,161,137,24
margaret,161,161,0
monthli,161,124,37
qualiti,161,91,70
thousand,161,24,137
third,161,101,60
plu,160,115,45
four,160,117,43
pep,160,160,0
accord,160,111,49
methodolog,159,156,3
pre,159,118,41
greg,159,155,4
chief,159,148,11
nov,159,157,2
davi,159,157,2
pipelin,159,155,4
establish,158,112,46
spoke,158,156,2
phase,158,152,6
miss,158,134,24
volum,158,135,23
knowledg,158,123,35
andrew,158,154,4
kristin,158,158,0
academ,157,151,6
lender,157,116,41
employ,157,115,42
play,157,111,46
equip,156,105,51
sevil,156,156,0
prc,156,156,0
across,156,139,17
quantit,156,155,1
track,155,106,49
fine,155,146,9
registr,155,134,21
consider,154,137,17
certain,154,88,66
sector,154,112,42
outsid,154,136,18
brief,154,145,9
rather,154,137,17
oren,154,154,0
statist,153,142,11
choic,153,113,40
loss,153,103,50
consist,153,122,31
impress,153,112,41
debt,153,98,55
metal,152,138,14
eric,152,152,0
except,152,127,25
depend,152,129,23
membership,152,82,70
calendar,152,148,4
previou,152,139,13
krishna,152,152,0
worldwid,152,47,105
