,frequency,frequency_ham,frequency_spam
escapenumb,1149940,809995,339945
escapelong,227296,39137,188159
use,46972,34745,12227
org,43603,42569,1034
list,40709,35320,5389
help,40603,35172,5431
pleas,40603,27227,13376
mail,39850,30499,9351
new,37142,25739,11403
compani,37058,16701,20357
one,36703,19879,16824
time,36700,22288,14412
may,36346,21672,14674
price,34461,10051,24410
samba,30787,30769,18
per,30322,4160,26162
sourc,29719,26982,2737
need,27810,17561,10249
work,27766,20213,7553
messag,26843,21140,5703
post,26594,25734,860
file,25842,22717,3125
provid,25789,17249,8540
pill,25788,289,25499
said,25611,16159,9452
make,25205,15173,10032
name,24460,18053,6407
email,24371,12138,12233
thank,24186,17618,6568
day,24186,12069,12117
data,23748,22091,1657
look,23424,11038,12386
see,23394,12066,11328
stat,22546,22476,70
news,22528,15639,6889
inform,22517,9774,12743
product,21725,5965,15760
branch,21721,20894,827
html,21717,19642,2075
busi,21557,11389,10168
know,21455,13365,8090
servic,20918,11837,9081
read,20914,17280,3634
escapenumbermg,20696,150,20546
year,20614,13088,7526
want,20571,12094,8477
ethz,20493,20493,0
includ,19945,13920,6025
guid,19838,19058,780
code,19777,18582,1195
escapenumberd,19755,17509,2246
save,19229,2758,16471
call,19227,13430,5797
project,18485,14990,3495
market,18412,11637,6775
item,18326,2721,15605
test,18216,16467,1749
free,18003,9420,8583
receiv,17916,8253,9663
report,17785,10595,7190
tri,17586,10819,6767
manag,17534,10985,6549
offer,17499,4595,12904
right,17227,10312,6915
take,16944,8124,8820
chang,16766,13228,3538
comment,16581,15925,656
state,16273,12071,4202
gener,16085,9837,6248
power,16019,11563,4456
follow,15924,10717,5207
secur,15902,6697,9205
custom,15864,4536,11328
return,15832,13960,1872
contain,15689,12421,3268
set,15643,13249,2394
system,15576,10556,5020
say,15062,9328,5734
way,15058,9393,5665
watch,14750,6676,8074
perl,14704,14671,33
peopl,14696,7184,7512
number,14517,7703,6814
first,14498,9986,4512
energi,14409,11964,2445
mailman,14295,13124,1171
self,14274,13348,926
line,14269,10217,4052
contact,14191,6936,7255
valu,14165,11070,3095
click,14110,6608,7502
wrote,14009,13618,391
week,13841,9799,4042
struct,13836,13833,3
net,13822,6523,7299
result,13549,8220,5329
deal,13543,10672,2871
money,13542,2146,11396
group,13513,11226,2287
two,13498,9573,3925
forward,13452,8358,5094
unsubscrib,13343,10731,2612
listinfo,13303,12839,464
best,13265,5201,8064
cnn,13161,12728,433
find,13135,7491,5644
think,13135,9528,3607
function,12896,11664,1232
stori,12753,11692,1061
order,12705,5072,7633
even,12611,6989,5622
low,12550,5108,7442
lib,12541,12511,30
trade,12470,9406,3064
world,12465,6130,6335
offic,12445,5612,6833
start,12437,7626,4811
ga,12405,9979,2426
develop,12384,8896,3488
come,12333,5798,6535
avail,12279,5152,7127
last,12270,8167,4103
well,12252,7036,5216
rev,12248,11646,602
share,12225,7878,4347
ctdb,12165,12165,0
type,12123,9910,2213
much,12073,6039,6034
program,11994,7136,4858
give,11961,6378,5583
math,11960,11816,144
error,11934,10700,1234
good,11916,6026,5890
mani,11789,5459,6330
problem,11716,9496,2220
version,11585,10138,1447
base,11516,7110,4406
current,11511,7816,3695
inc,11474,6143,5331
home,11435,5706,5729
date,11416,9227,2189
back,11386,6711,4675
check,11316,7439,3877
high,11214,5140,6074
today,11150,5913,5237
term,11122,7839,3283
regard,11092,6402,4690
end,11066,7484,3582
sent,10984,8579,2405
question,10893,8755,2138
invest,10866,3395,7471
oper,10838,6988,3850
month,10832,6355,4477
address,10812,4671,6141
stock,10763,5228,5535
million,10620,5637,4983
softwar,10613,3697,6916
link,10599,6683,3916
next,10589,6440,4149
send,10555,5850,4705
part,10539,4982,5557
account,10529,3903,6626
user,10495,8482,2013
creat,10457,7498,2959
origin,10447,8685,1762
statement,10395,3045,7350
health,10242,6254,3988
buy,10218,3154,7064
site,10185,4158,6027
process,10160,5799,4361
run,10157,8293,1864
sid,10108,10091,17
issu,10093,8755,1338
requir,10063,5975,4088
expect,10061,4782,5279
thing,10046,5327,4719
show,10044,7135,2909
let,10032,6817,3215
interest,9933,5566,4367
write,9917,6724,3193
support,9822,6394,3428
meet,9806,7498,2308
open,9803,7344,2459
web,9736,3811,5925
minim,9681,9559,122
statu,9660,8640,1020
person,9631,4178,5453
onlin,9607,2876,6731
mean,9607,5412,4195
reproduc,9590,9497,93
made,9508,4259,5249
request,9493,6913,2580
top,9423,5160,4263
drug,9326,3695,5631
plan,9315,6707,2608
build,9290,7749,1541
http,9285,9188,97
addit,9283,7065,2218
case,9256,6877,2379
qualiti,9245,1025,8220
window,9211,4159,5052
complet,9209,4837,4372
discuss,9209,7646,1563
everi,9185,2540,6645
visit,9179,3799,5380
modifi,9155,8967,188
adob,9150,270,8880
rate,9112,6029,3083
aescapenumb,9097,1437,7660
size,9088,5041,4047
risk,9058,5489,3569
full,9021,5455,3566
differ,8982,5867,3115
without,8921,4525,4396
int,8918,8771,147
packag,8908,7755,1153
retail,8897,717,8180
long,8861,5439,3422
commun,8790,5492,3298
great,8779,2743,6036
posit,8772,4179,4593
place,8745,4140,4605
point,8695,6712,1983
option,8694,7793,901
within,8594,2743,5851
view,8510,5277,3233
char,8509,8486,23
vinc,8508,8473,35
close,8477,6205,2272
event,8468,5768,2700
possibl,8428,5732,2696
still,8422,5724,2698
releas,8373,5036,3337
special,8356,2415,5941
network,8351,6502,1849
key,8339,7253,1086
ask,8065,4995,3070
corp,8051,7175,876
licens,8040,5880,2160
futur,8008,2941,5067
const,8008,8002,6
public,7988,5922,2066
speakup,7890,7890,0
dear,7879,2620,5259
effect,7798,3835,3963
detail,7726,3777,3949
bank,7723,2507,5216
realli,7715,4062,3653
add,7647,5847,1800
intern,7645,4603,3042
life,7635,1457,6178
note,7634,4799,2835
schedul,7618,6711,907
might,7599,4636,2963
go,7561,4465,3096
info,7505,4096,3409
tdb,7495,7494,1
hour,7486,4010,3476
instal,7483,6604,879
continu,7474,4660,2814
countri,7469,3783,3686
hope,7428,4783,2645
unit,7419,4625,2794
industri,7414,4148,3266
video,7373,5230,2143
model,7334,6303,1031
attach,7309,6014,1295
remov,7206,3387,3819
articl,7203,6810,393
technolog,7195,3512,3683
utc,7186,7125,61
cost,7177,4356,2821
found,7149,4832,2317
updat,7095,4991,2104
util,7079,6636,443
someth,7027,4851,2176
access,7026,5210,1816
believ,7013,3069,3944
better,7000,3570,3430
ad,6958,5747,1211
exampl,6956,5812,1144
control,6954,4990,1964
must,6953,3348,3605
transact,6933,3423,3510
june,6901,6134,767
pay,6878,2902,3976
fund,6871,2596,4275
debian,6859,6821,38
learn,6849,4681,2168
credit,6838,4228,2610
live,6832,3111,3721
research,6817,5239,1578
level,6816,4668,2148
form,6808,3486,3322
object,6806,5640,1166
respons,6777,4432,2345
move,6761,4463,2298
reserv,6733,5162,1571
sure,6727,4407,2320
keep,6727,3588,3139
purchas,6714,2831,3883
null,6712,6670,42
server,6705,5461,1244
escapenumber,6702,3103,3599
bin,6692,6352,340
bush,6691,6312,379
member,6679,4032,2647
suit,6663,1557,5106
ctx,6647,6645,2
comput,6639,3323,3316
cgi,6638,6270,368
fail,6596,5569,1027
internet,6561,2611,3950
index,6560,5476,1084
activ,6548,4943,1605
feel,6520,2091,4429
present,6514,3570,2944
slashdot,6495,6484,11
alreadi,6491,3638,2853
sale,6489,3243,3246
stop,6487,2112,4375
financi,6487,4644,1843
anatrim,6459,0,6459
log,6456,6075,381
team,6435,4347,2088
review,6431,4563,1868
sell,6426,2846,3580
relat,6424,3873,2551
put,6415,4187,2228
seem,6411,4888,1523
increas,6407,2842,3565
man,6407,1943,4464
print,6402,5527,875
payment,6371,1417,4954
allow,6369,4098,2271
copyright,6274,5396,878
anoth,6261,4610,1651
alert,6261,4385,1876
monday,6258,5383,875
nation,6251,4052,2199
natur,6207,3510,2697
presid,6204,5112,1092
three,6197,3720,2477
final,6195,4493,1702
friday,6176,5392,784
sign,6152,4046,2106
src,6152,5810,342
copi,6150,4529,1621
real,6135,2748,3387
true,6126,4811,1315
announc,6110,3135,2975
talk,6109,4245,1864
privat,6098,3268,2830
local,6079,4531,1548
talloc,6078,6078,0
abl,6056,3696,2360
perform,6044,3499,2545
john,6033,5439,594
profession,6002,601,5401
phone,6000,3154,2846
import,5995,4036,1959
microsoft,5972,1668,4304
get,5967,3948,2019
lot,5946,2999,2947
old,5943,3184,2759
medic,5907,841,5066
begin,5865,4343,1522
command,5862,5322,540
april,5856,5264,592
bill,5811,4420,1391
text,5800,4376,1424
book,5796,3790,2006
class,5794,4624,1170
author,5787,4694,1093
smb,5783,5777,6
target,5778,1799,3979
solut,5771,2675,3096
got,5764,2982,2782
string,5753,5550,203
less,5751,2708,3043
design,5751,2914,2837
client,5748,3939,1809
never,5734,2474,3260
alway,5728,2445,3283
approv,5725,2869,2856
websit,5681,1200,4481
parrot,5675,5664,11
repli,5661,2578,3083
ndr,5658,5657,1
document,5646,4395,1251
page,5577,3630,1947
contract,5568,4511,1057
word,5565,2712,2853
method,5561,4776,785
limit,5551,3179,2372
linux,5546,5072,474
die,5520,2327,3193
littl,5499,2337,3162
content,5493,3022,2471
tell,5464,2970,2494
houston,5452,5370,82
revis,5435,4727,708
done,5431,4217,1214
tool,5430,4142,1288
past,5400,2968,2432
mark,5399,4294,1105
cescapenumb,5378,1747,3631
turn,5367,2254,3113
common,5365,4039,1326
void,5342,5164,178
defin,5323,4310,1013
thursday,5319,4872,447
total,5292,3001,2291
york,5285,4529,756
friend,5282,1877,3405
reason,5279,3378,1901
recent,5267,3528,1739
cb,5263,5190,73
fix,5261,4320,941
store,5255,2061,3194
understand,5254,3493,1761
second,5245,3331,1914
american,5244,2946,2298
around,5237,3009,2228
applic,5233,2828,2405
featur,5214,2641,2573
wish,5198,1473,3725
due,5192,2750,2442
actual,5182,3519,1663
refer,5159,3339,1820
univers,5153,4325,828
claim,5147,1890,3257
success,5145,2478,2667
suggest,5118,4207,911
billion,5111,4230,881
search,5095,2885,2210
direct,5093,3005,2088
advertis,5090,2081,3009
path,5087,4595,492
distribut,5053,3860,1193
fax,5049,3428,1621
earli,5044,4082,962
associ,5043,3136,1907
execut,5040,4114,926
govern,5037,3273,1764
fact,5027,2062,2965
act,5024,1588,3436
love,5021,1230,3791
tuesday,4993,4629,364
wednesday,4980,4717,263
pmc,4954,4937,17
agreement,4943,3774,1169
weather,4933,4566,367
join,4933,2803,2130
center,4928,3529,1399
assist,4911,2027,2884
polit,4889,3907,982
agre,4889,3772,1117
minut,4886,1991,2895
context,4885,4747,138
transfer,4884,969,3915
produc,4871,2843,2028
juli,4853,4273,580
promot,4845,1131,3714
handl,4836,4115,721
action,4832,2586,2246
beginn,4826,4771,55
hand,4825,1801,3024
select,4817,2283,2534
ship,4791,899,3892
connect,4790,3769,1021
corpor,4789,2723,2066
becom,4787,2218,2569
short,4782,2705,2077
miss,4780,2867,1913
pass,4778,3334,1444
vescapenumb,4777,4273,504
legal,4769,3619,1150
record,4754,3233,1521
ye,4754,2962,1792
job,4751,2456,2295
dynegi,4741,4741,0
major,4737,2516,2221
kaminski,4727,4727,0
parent,4727,3846,881
consid,4725,2715,2010
jun,4725,4165,560
global,4712,3743,969
daili,4706,3565,1141
imag,4704,1743,2961
given,4700,2901,1799
subscrib,4699,2825,1874
financ,4698,2791,1907
investor,4692,2788,1904
domain,4681,4192,489
hous,4669,3097,1572
big,4669,2727,1942
opportun,4660,2089,2571
care,4639,1811,2828
thought,4623,2531,2092
lead,4615,2630,1985
america,4613,3058,1555
sever,4611,3438,1173
face,4598,2246,2352
play,4588,1791,2797
download,4562,2412,2150
electr,4561,4080,481
california,4550,3821,729
charg,4532,2641,1891
exist,4531,3363,1168
hold,4502,2338,2164
parti,4484,2183,2301
root,4466,3583,883
librari,4460,4067,393
descapenumb,4445,883,3562
script,4444,4262,182
small,4443,2380,2063
delet,4440,4014,426
cash,4433,2181,2252
standard,4408,3393,1015
head,4403,2259,2144
notic,4387,2189,2198
non,4387,3577,810
sugar,4380,4060,320
area,4375,2911,1464
answer,4375,2672,1703
variabl,4374,4270,104
eescapenumb,4368,1177,3191
win,4364,2062,2302
soon,4340,1857,2483
databas,4340,3569,771
law,4336,3055,1281
men,4319,478,3841
warn,4317,3492,825
involv,4312,1968,2344
viagra,4310,21,4289
profit,4308,1622,2686
braill,4304,4292,12
morn,4296,3177,1119
cours,4290,2638,1652
flag,4283,4067,216
implement,4282,2926,1356
prefer,4282,3294,988
immedi,4281,1621,2660
dept,4279,4123,156
concern,4277,3102,1175
altern,4276,3701,575
noth,4276,1337,2939
websvn,4272,4272,0
uwo,4272,4270,2
guarante,4270,938,3332
advic,4265,949,3316
express,4261,1735,2526
via,4247,2335,1912
thousand,4242,655,3587
idea,4236,2988,1248
accept,4231,1994,2237
experi,4214,1854,2360
letter,4202,1737,2465
propos,4202,3116,1086
patch,4196,2915,1281
partner,4180,1847,2333
director,4177,2737,1440
discount,4174,625,3549
regist,4172,1837,2335
section,4144,2047,2097
caus,4143,2164,1979
map,4129,3743,386
dollar,4124,1200,2924
offici,4111,2791,1320
employe,4099,3075,1024
third,4095,2015,2080
appli,4092,2861,1231
weight,4084,1044,3040
pro,4077,638,3439
condit,4077,2753,1324
hello,4075,2685,1390
anyth,4071,2349,1722
heimdal,4069,4069,0
properti,4058,2268,1790
away,4051,1523,2528
larg,4035,2609,1426
matter,4033,1625,2408
space,4023,2934,1089
improv,4022,1793,2229
trunk,4018,3937,81
modul,4018,3924,94
particip,4000,2197,1803
happen,3995,2402,1593
locat,3994,2710,1284
famili,3979,1763,2216
patent,3978,3415,563
uwaterloo,3977,1374,2603
though,3970,2304,1666
told,3958,1940,2018
cover,3956,2390,1566
etc,3955,3151,804
whether,3954,3234,720
specif,3951,2977,974
break,3949,2674,1275
school,3944,2267,1677
canadianpharmaci,3939,0,3939
estim,3922,2451,1471
drive,3920,1679,2241
wait,3919,1616,2303
yet,3909,2453,1456
benefit,3889,1580,2309
media,3885,1299,2586
repres,3884,2172,1712
uintescapenumb,3881,3881,0
bit,3874,2583,1291
left,3873,2065,1808
advanc,3871,2071,1800
clear,3871,2920,951
deliveri,3865,1669,2196
leav,3863,2128,1735
apr,3860,3396,464
expens,3853,1177,2676
david,3841,3460,381
later,3833,2393,1440
step,3829,2348,1481
debug,3813,3724,89
confer,3805,3371,434
tabl,3804,2939,865
depart,3802,2441,1361
opinion,3794,1736,2058
simpl,3789,2247,1542
configur,3787,3601,186
protect,3786,2316,1470
format,3781,2910,871
organ,3777,1886,1891
wind,3773,3045,728
materi,3769,1236,2533
far,3767,2385,1382
probabl,3761,3124,637
shop,3752,624,3128
hard,3751,2024,1727
easi,3748,1359,2389
plot,3744,3671,73
safe,3744,1068,2676
lock,3721,3235,486
appear,3714,2499,1215
deliv,3712,1165,2547
resourc,3711,2463,1248
asset,3708,3023,685
rpc,3708,3698,10
brand,3708,553,3155
prepar,3697,1678,2019
either,3694,2688,1006
oil,3692,1748,1944
xescapenumb,3690,2625,1065
length,3688,2672,1016
broker,3688,366,3322
least,3673,2626,1047
polici,3666,2728,938
hear,3656,1781,1875
latest,3653,2394,1259
thu,3652,2638,1014
load,3652,3048,604
kind,3651,1702,1949
indic,3649,2050,1599
enter,3643,1869,1774
firm,3639,2473,1166
remain,3631,2381,1250
accord,3629,2569,1060
earn,3626,1926,1700
factor,3619,2575,1044
insid,3614,2568,1046
white,3613,2081,1532
profil,3611,2210,1401
simpli,3610,1379,2231
replac,3603,3338,265
fals,3597,3354,243
push,3595,3073,522
privaci,3590,2543,1047
count,3586,2633,953
edit,3577,1354,2223
gain,3576,1115,2461
percent,3568,2858,710
press,3561,1720,1841
certain,3559,1420,2139
lose,3557,859,2698
default,3556,3330,226
anyon,3545,2783,762
php,3535,904,2631
jone,3524,3287,237
escapenumberonli,3522,0,3522
pull,3517,2781,736
upon,3512,1054,2458
loss,3512,1991,1521
lower,3509,1882,1627
volum,3497,2934,563
box,3492,1574,1918
sunday,3491,3228,263
amount,3488,1673,1815
decid,3477,1624,1853
ago,3467,1788,1679
louis,3454,3439,15
plant,3454,2785,669
other,3454,1775,1679
ticket,3449,2568,881
street,3448,2238,1210
game,3443,2038,1405
citi,3442,2087,1355
side,3438,1848,1590
exchang,3433,1999,1434
sun,3432,2345,1087
region,3431,1462,1969
fescapenumb,3431,1421,2010
period,3426,2411,1015
engin,3422,1644,1778
usr,3418,3333,85
bring,3418,1780,1638
hash,3413,3382,31
usa,3408,1911,1497
doc,3406,3333,73
longer,3405,1496,1909
speech,3393,3212,181
choos,3387,1135,2252
fill,3384,1270,2114
room,3377,2136,1241
capit,3377,1781,1596
main,3376,2681,695
art,3373,2231,1142
effort,3349,2117,1232
compil,3349,3152,197
respect,3346,1265,2081
confirm,3346,2193,1153
match,3344,2590,754
initi,3342,2704,638
frame,3337,2989,348
array,3331,3201,130
strong,3329,1159,2170
directori,3327,2869,458
seen,3325,1470,1855
someon,3314,2595,719
appreci,3302,2148,1154
night,3299,1660,1639
fast,3299,790,2509
enough,3297,1990,1307
instruct,3293,743,2550
analyst,3285,2703,582
rais,3279,1613,1666
intend,3267,1767,1500
five,3266,1479,1787
chanc,3254,1173,2081
yahoo,3249,1465,1784
pharmaci,3245,21,3224
entertain,3241,2193,1048
instead,3241,2359,882
card,3240,1125,2115
matrix,3236,3126,110
newslett,3233,1477,1756
soft,3226,179,3047
potenti,3220,1776,1444
individu,3208,2086,1122
reach,3206,1746,1460
rather,3205,2095,1110
svn,3196,3194,2
bool,3195,3192,3
field,3188,2139,1049
edu,3187,3112,75
saturday,3187,3048,139
macromedia,3187,28,3159
num,3183,3143,40
manufactur,3181,755,2426
fee,3177,1075,2102
memori,3177,2508,669
csescapenumb,3174,39,3135
cut,3173,2330,843
michael,3170,2829,341
correspond,3170,1594,1576
decis,3170,2364,806
happi,3156,1296,1860
sincer,3149,637,2512
plu,3148,1468,1680
fit,3146,2095,1051
late,3144,1621,1523
forc,3141,2064,1077
demand,3138,2289,849
washington,3136,2698,438
quit,3128,1853,1275
recommend,3112,1736,1376
robert,3110,2855,255
bbc,3110,2684,426
confidenti,3107,1138,1969
iraq,3094,2776,318
car,3094,1078,2016
bodi,3094,799,2295
ciali,3093,11,3082
ntstatu,3088,3088,0
ret,3084,3063,21
commerci,3082,1939,1143
canadian,3079,519,2560
normal,3075,1896,1179
integr,3074,1543,1531
rule,3070,2250,820
grow,3057,1032,2025
readi,3052,887,2165
config,3051,3020,31
structur,3051,2519,532
interfac,3048,2060,988
war,3047,2183,864
administr,3047,2662,385
med,3041,162,2879
rememb,3037,1048,1989
bescapenumb,3036,755,2281
mem,3032,3011,21
mention,3031,1723,1308
like,3026,2164,862
north,3015,2164,851
rang,3008,1557,1451
food,3005,872,2133
museum,3004,2915,89
canada,3004,1419,1585
mike,3001,2733,268
eye,3001,965,2036
speedi,2999,1368,1631
static,2997,2944,53
dow,2996,2796,200
entri,2992,2550,442
mind,2982,1108,1874
suppli,2967,1973,994
sec,2955,2078,877
krbescapenumb,2951,2951,0
publish,2946,1486,1460
correct,2943,2496,447
languag,2935,2332,603
student,2934,2461,473
travel,2929,1096,1833
tonight,2929,2503,426
san,2914,1965,949
drop,2912,2076,836
interview,2911,2581,330
south,2908,1607,1301
children,2904,724,2180
scienc,2902,2142,760
paid,2896,949,1947
steve,2892,2405,487
growth,2884,973,1911
sport,2883,1985,898
road,2882,1597,1285
argument,2877,2588,289
union,2874,982,1892
color,2874,1141,1733
tue,2849,2011,838
lo,2844,1448,1396
cabl,2841,2420,421
troubl,2839,2190,649
creativ,2838,490,2348
came,2833,1104,1729
texa,2828,2394,434
wonder,2827,1621,1206
winbindd,2826,2826,0
popular,2823,479,2344
worldwid,2823,499,2324
obj,2819,2811,8
der,2812,699,2113
que,2809,1063,1746
enjoy,2808,765,2043
board,2807,1833,974
environ,2805,1945,860
appl,2805,1308,1497
pillescapenumb,2801,0,2801
bad,2798,1782,1016
column,2796,2651,145
sampl,2793,1993,800
digit,2787,1263,1524
merg,2780,2723,57
four,2771,1729,1042
forecast,2770,2573,197
depend,2763,2175,588
situat,2760,1546,1214
gift,2758,441,2317
extend,2744,1753,991
kill,2743,1626,1117
chief,2741,2313,428
along,2736,1818,918
output,2735,2622,113
definit,2731,1755,976
western,2730,690,2040
laptop,2729,2496,233
march,2726,1998,728
calcul,2726,1733,993
court,2724,2375,349
similar,2723,1740,983
commiss,2721,1911,810
photoshop,2718,36,2682
mime,2718,2395,323
lowest,2718,350,2368
analysi,2710,2312,398
machin,2710,2027,683
mac,2709,713,1996
whole,2699,1248,1451
reduc,2699,1617,1082
london,2696,2187,509
togeth,2695,1873,822
fire,2683,1675,1008
escapenumberth,2680,1660,1020
summer,2678,1670,1008
compar,2665,1642,1023
debt,2664,2061,603
flow,2664,2199,465
descapenumbers,2663,0,2663
necessari,2660,1402,1258
took,2656,1241,1415
valid,2654,1960,694
tridg,2653,2653,0
pick,2645,1326,1319
wrong,2644,1752,892
almost,2643,1159,1484
mailto,2640,2411,229
hundr,2629,479,2150
identifi,2624,1550,1074
affili,2618,705,1913
pars,2612,2588,24
voic,2609,894,1715
everyth,2603,1344,1259
everyon,2602,1658,944
font,2596,844,1752
sum,2596,1313,1283
singl,2591,1685,906
meter,2587,2519,68
women,2585,883,1702
hot,2582,651,1931
blog,2582,2300,282
candid,2578,1796,782
measur,2577,1845,732
aid,2574,1898,676
commit,2574,1579,995
near,2574,1229,1345
purpos,2571,1320,1251
attent,2570,773,1797
foreign,2567,762,1805
draw,2565,1119,1446
huge,2564,659,1905
among,2562,1423,1139
reliabl,2562,721,1841
investig,2560,1859,701
paul,2556,2154,402
nice,2549,1138,1411
former,2538,2180,358
half,2536,1075,1461
wide,2532,892,1640
serv,2526,1305,1221
trader,2520,2235,285
went,2520,941,1579
studi,2519,1589,930
often,2518,1045,1473
sound,2517,1271,1246
doctor,2513,441,2072
pescapenumb,2511,2417,94
approach,2509,1951,558
except,2508,1821,687
premier,2502,236,2266
seek,2501,1298,1203
entir,2501,1218,1283
init,2497,2489,8
escapenumberf,2496,1174,1322
smbd,2494,2493,1
quarter,2494,1891,603
cach,2494,2427,67
paper,2488,1610,878
stand,2484,1024,1460
pgp,2482,2429,53
cent,2482,1900,582
negoti,2472,1645,827
andrew,2468,2333,135
feder,2467,1673,794
mobil,2464,1211,1253
directli,2458,1302,1156
consult,2457,1143,1314
quick,2457,1194,1263
china,2455,1054,1401
charact,2455,2034,421
pipe,2453,2196,257
studio,2452,383,2069
avoid,2450,1278,1172
basic,2442,2024,418
topic,2440,2138,302
var,2439,2360,79
mayb,2436,1848,588
god,2436,248,2188
node,2435,2378,57
consum,2433,1327,1106
sort,2431,1760,671
advis,2429,1215,1214
archiv,2424,2194,230
senat,2421,2305,116
graphic,2421,1195,1226
trust,2419,1321,1098
choic,2419,1067,1352
yesterday,2418,2150,268
tax,2415,1589,826
jame,2414,2153,261
fall,2413,1593,820
committe,2409,2018,391
train,2399,1537,862
